id,risk_score,risk
9193,14.375,5
4822,7.5,5
7661,5,5
3743,14.875,5
8663,10,5
6318,5,5
5604,5,5
963,9.375,5
3756,8.5,5
4920,7.5,5
1606,5,5
531,9.5,3
985,5,5
8778,14,5
8889,9.75,5
1714,12.5,5
4051,14.125,5
8597,7.5,5
3375,5,5
7073,5,5
754,13.625,2
2910,21.25,5
5365,9.875,5
4990,5,5
8909,15.625,5
144,4.25,0
8228,7.5,5
1068,5,5
96510,0,0
5436,5,5
5178,9.75,5
78,13.375,6
5403,7.5,5
4847,9,5
8890,5,5
2719,5,5
5444,5,5
2611,5,5
4472,5,5
9388,9.25,5
9653,15,5
4286,5,5
3699,5,5
1858,10,5
5091,5,5
7282,5,5
7327,13.125,5
1017,5,5
1515,7.5,5
3984,11.875,5
2148,5,5
9325,7.5,5
8761,7.5,5
790,8.5,6
5603,5,5
7046,9.875,5
208,6.75,0
5643,2.25,0
5643,2.25,5
5643,7.25,0
5643,7.25,5
5643,2.25,0
5643,2.25,5
5643,7.25,0
5643,7.25,5
6154,9.375,5
770,5.75,2
9275,5,5
5643,2.25,0
5643,2.25,5
5643,7.25,0
5643,7.25,5
5643,2.25,0
5643,2.25,5
5643,7.25,0
5643,7.25,5
7882,9.875,5
9881,5,5
7811,11.25,5
8003,10,5
2106,10,5
5480,5,5
9358,5,5
5339,15.625,5
7893,8.625,5
6449,14.625,5
1288,15,5
9665,5,5
3343,7,5
1835,5,5
5400,7.5,5
3193,16.25,5
9444,10,5
8551,8.75,5
9849,7.5,5
3068,10,5
401,17.875,1
3931,5,5
4547,12.125,5
2866,11.25,5
8090,5,0
8090,5,5
8090,5,0
8090,5,5
8090,5,0
8090,5,5
8090,5,0
8090,5,5
4877,15.625,5
7908,8.75,5
3946,9.5,5
4148,21.75,5
9421,12.5,5
3624,7.5,5
1861,12.5,5
5261,5,5
5,7.5,5
6939,8,5
8749,5,5
1505,10,5
6386,7.5,5
1152,7.5,5
273,15.875,1
6188,11.625,5
2479,17.75,5
3296,5,5
8090,0,0
8090,0,5
8090,0,0
8090,0,5
8090,0,0
8090,0,5
8090,0,0
8090,0,5
8241,5,5
1592,5,5
3389,8.75,5
3600,5,5
4976,5,5
4901,11.25,5
3855,5,5
3196,16.625,5
6964,10.75,5
7577,5,5
2847,7.5,5
3149,7.5,5
7765,19.75,5
1981,7.875,5
2856,5,5
9027,13.25,5
2048,5,5
9727,5,5
9072,5,5
8319,7.5,5
5474,5,5
9842,5,5
3811,7.5,5
421,5,5
9559,7.5,5
2911,5,5
8022,5,5
3796,5,5
7236,7.5,5
9824,7.5,5
2961,5,5
6340,5,5
1781,8.75,5
2704,5,5
5035,8.25,5
337,3.5,1
8566,5,5
278,6,6
9292,8.5,5
3464,10,5
2905,7.5,5
2,2.5,2
6912,18.75,5
7886,8.375,5
5292,16.5,5
5390,11.875,5
5269,18.125,5
3611,5,5
7873,7.5,5
79399,0,0
1522,5,5
2655,7.5,5
1154,24.625,5
460,4,4
3371,13.75,5
7531,5,5
5864,13,5
7103,11.875,5
65710,0,0
6115,16.25,5
1125,5,5
8177,11.25,5
196,8.375,4
9479,5,5
4057,5,5
4566,5,5
3040,10.875,5
1002,20.625,5
2194,16.875,5
6301,5,5
44875,0,0
3989,5,5
4097,8.75,5
4072,14.25,5
5672,7.5,5
2937,5,5
9994,5,5
9978,5,5
5143,16.875,5
2153,5,5
3594,14.25,5
7084,21.875,5
5402,20.625,5
6830,5,5
2828,7.5,5
9567,5,5
252,13.625,4
8945,5,5
855,7,7
5661,5,5
9340,5,5
426,4.5,2
1743,5,5
6331,5,5
9132,8.625,5
6656,5,5
4908,5,5
7871,10,5
9523,17.5,5
5279,10.5,5
795,13.625,3
9652,7.5,5
5825,23.75,5
7595,5,5
1115,13.75,5
5715,5,5
7546,8.75,5
689,6.625,1
2208,15.625,5
3839,5,5
1949,9.875,5
4500,18.75,5
7105,9.375,5
39,13.25,7
746,4.5,2
1993,15,5
6010,19.75,5
6887,5,5
4676,12.5,5
1720,5,5
3932,11.25,5
1075,5,5
3710,5,5
882,2,2
3784,7.5,5
3888,14.5,5
4254,5,5
8689,5.5,5
8624,7.5,5
8921,5,5
9289,13.125,5
6624,14.375,5
4671,13.75,5
4674,5,5
4220,14.75,5
6412,11.25,5
6836,15.375,5
2944,11.875,5
1162,7.5,5
4947,13.125,5
679,13.25,7
6516,5,5
3735,5,5
4454,7.5,5
7178,9.375,5
3673,11,5
3169,7.5,5
2553,5,5
9793,8,5
5438,10,5
3319,7.75,5
3965,5,5
7757,5,5
8096,5,5
8192,5,5
3306,16.625,5
5330,19.875,5
8561,5,5
2680,11.25,5
7060,7.5,5
958,5,5
1410,21.25,5
6146,11.875,5
8770,12.5,5
5357,12.5,5
5970,5,5
9411,5,5
739,5.5,3
4772,12.75,5
8027,5,5
592,2.5,0
5610,5,5
2736,24.875,5
555,8,3
4927,5,5
7997,10,5
8100,10,5
2861,12.5,5
3017,5,5
6480,5,5
8050,5,5
1479,17.5,5
6673,16.5,5
6394,5.5,5
4424,14.375,5
6551,5,5
6697,5,5
9046,13.125,5
1183,7.5,5
4185,13.75,5
4771,5,5
3533,5,5
4727,15,5
4017,12.25,5
1104,13.125,5
4685,7.5,5
2964,5,5
2392,5,5
647,7,7
1485,7.375,5
7015,5,5
9440,5,5
9024,8.75,5
8370,12.5,5
7689,5,5
3891,5,5
6209,7.5,5
4333,15,5
6883,8.75,5
6744,10,5
4118,13.125,5
3641,5,5
9361,25.625,5
975,7.5,5
2718,5,5
7539,10,5
6958,5,5
470,11.875,6
2948,9.25,5
4408,16.25,5
6212,10,5
7685,5,5
4078,7.5,5
5104,12.5,5
3656,9.375,5
4934,7.5,5
8824,10.5,5
53651,0,0
7121,7.5,5
1349,5,5
1418,8.75,5
9654,5,5
7353,11.25,5
9656,5,5
2249,5,5
2200,11,5
2531,7.5,5
711,18.625,7
462,6,6
1956,7.5,5
3250,11.25,5
442,2,2
4315,5,5
9067,7.5,5
272,15,0
2980,10,5
5498,9.375,5
5321,10.625,5
8699,9,5
3408,16.75,5
743,16.375,7
3365,5,5
4631,10.75,5
1584,5,5
3745,9.375,5
2155,5,5
3646,5,5
6375,7.5,5
5735,9.25,5
1692,7.5,5
6708,8,5
1972,5,5
2031,7.5,5
6376,5,5
4953,15.25,5
3090,7.5,5
7609,5,5
2149,5,5
64,2.5,0
348,4,4
3582,5,5
5911,10.625,5
5193,13.75,5
4817,7,5
4132,5,5
4837,5,5
6445,5,5
710,11,6
459,11.75,3
6140,5,5
8220,7.5,5
9880,17.5,5
8840,10.25,5
9071,10.25,5
81074,0,0
3914,12.5,5
7565,15,5
5199,8.75,5
3496,15.25,5
7910,13.75,5
9553,9.375,5
308,12.75,4
1673,5,5
1021,11.875,5
6305,7.5,5
2349,17.5,5
356,7.75,4
512,0,0
4144,11.875,5
1429,5,5
2224,5,5
2701,11.25,5
4370,12.5,5
3777,21.25,5
8742,7.5,5
2702,5,5
8908,10.625,5
4584,15.875,5
9078,7.5,5
6576,18,5
3992,19.25,5
9353,5,5
2618,10,5
9764,7.5,5
3412,5,5
3573,9.375,5
1001,5,5
3419,10,5
6488,15,5
9840,9.375,5
7862,2.5,0
7862,2.5,5
7862,7.5,0
7862,7.5,5
7862,2.5,0
7862,2.5,5
7862,7.5,0
7862,7.5,5
2317,5,5
6992,7.5,5
8479,10.625,5
9541,5,5
898,12,2
6353,5,5
4377,7.5,5
6880,5,5
119,10.375,7
8829,5,5
2193,5,5
2543,8.75,5
8660,10,5
5761,5,5
2117,12.625,5
8087,14.375,5
5750,5,5
3979,10,5
1389,16.25,5
9349,5,5
1779,9.375,5
3277,14.125,5
6144,10,5
5106,16.25,5
8900,5,5
5086,15.25,5
8128,18.75,5
1629,17.375,5
4180,18.125,5
8190,8.75,5
8443,15.625,5
9578,5,5
7862,2.5,0
7862,2.5,5
7862,7.5,0
7862,7.5,5
7862,2.5,0
7862,2.5,5
7862,7.5,0
7862,7.5,5
7470,5,5
3462,7.5,5
2923,15.625,5
7671,14.875,5
3388,5,5
7833,24.375,5
3130,5,5
3384,7.5,5
5748,7.5,5
2764,10,5
5080,11.25,5
9899,5,5
5565,11.875,5
275,3,3
2689,11.25,5
395,17.25,3
6326,10.625,5
3005,12.75,5
4503,5,5
8782,7.5,5
3303,7.5,5
4332,9.375,5
3461,7.5,5
9785,7.5,5
3129,10,5
8879,5,5
4432,17,5
9761,5,5
2662,7.5,5
5850,10.5,5
2960,5,5
909,9.375,5
4591,5,5
5223,5,5
7408,5,5
3708,5,5
9101,5,5
8065,5,5
1229,8.75,5
2262,10.625,5
3067,5,5
7412,10,5
5414,19.375,5
9285,9.375,5
9740,5,5
2068,10.125,5
8966,7.875,5
7800,13.75,5
8564,5,5
2015,10,5
5232,13.5,5
9617,5,5
5587,5,5
6849,5,5
9841,5,5
1823,9.5,5
2607,13.125,5
2298,24.75,5
1003,5,5
3561,7.5,5
7151,8.75,5
1393,9.375,5
8047,7.5,5
6603,15,5
6967,7.5,5
9723,7.5,5
2713,5,5
7552,15.625,5
5616,12.5,5
8535,13.625,5
1400,5,5
4982,16.25,5
7736,13.75,5
2506,5,5
1199,22.375,5
5763,10.625,5
2674,16.25,5
6258,16.375,5
3238,5,5
5177,15.625,5
2619,24.625,5
638,9.75,6
6683,5,5
7067,8.5,5
2223,5,5
9590,5,5
4764,5,5
2692,5,5
7474,12.125,5
1063,10.625,5
8949,5,5
8473,16.75,5
193,10.375,1
3147,7.5,5
2992,19.375,5
998,7.5,5
725,5,5
2955,8.75,5
283,7.375,3
5808,10,5
5294,13,5
7276,5,5
1033,10.625,5
857,1,1
1523,5,5
3681,10,5
1815,7.75,5
2824,10.625,5
3520,13.75,5
1120,25,5
8253,16.875,5
8140,18.625,5
755,7.375,3
185,3.5,1
8081,5,5
8365,8.75,5
653,10.5,5
7866,5,5
1200,5,5
4781,8.75,5
6651,21.875,5
2575,17.5,5
7738,8.75,5
4694,5,5
5396,13.125,5
5675,5,5
5951,3.75,0
5951,3.75,5
5951,8.75,0
5951,8.75,5
5951,3.75,0
5951,3.75,5
5951,8.75,0
5951,8.75,5
1308,10,5
3415,5,5
5902,7.5,5
341,11.875,5
753,1,1
5951,3.75,0
5951,3.75,5
5951,8.75,0
5951,8.75,5
5951,3.75,0
5951,3.75,5
5951,8.75,0
5951,8.75,5
7375,11.25,5
7404,7.5,5
6435,7.5,5
8016,17.5,5
6066,7.5,5
6070,5,5
6294,11.25,5
9158,5,5
4973,11.75,5
2843,9.375,5
5331,5,5
8430,7.5,5
4113,14.75,5
4599,5,5
9829,23.375,5
3460,11.25,5
7916,15.625,5
2165,15.75,5
4713,11.875,5
7107,5,5
8692,7.5,5
5491,5,5
3718,26.25,5
7753,5,5
3955,19.375,5
2438,10,5
174,9.75,6
2444,18.125,5
733,11.5,5
9205,5,5
3789,13.75,5
4762,11.375,5
5233,5,5
5969,7.5,5
5699,10,5
7977,14,5
9305,9.375,5
6160,12.125,5
7878,12.5,5
1520,5,5
4557,11.25,5
1829,7.5,5
2798,5,5
6141,7.5,5
3113,5,5
772,4,4
2077,5,5
8216,5,5
8530,5,5
206,17,6
5747,7.5,5
4140,5,5
4928,5,5
9646,12.5,5
7955,5,5
7903,5,5
7712,11.875,5
1016,11.25,5
2300,7.5,5
1659,6,5
6461,21.125,5
6769,5,5
2826,13.125,5
8765,13.125,5
3674,10,5
619,3,3
745,3.5,1
7984,5,5
3282,7.5,5
2766,8.75,5
6971,5,5
7946,15.625,5
4867,10.625,5
1354,5,5
1073,5,5
2378,7.5,5
884,8.375,4
1761,5,5
7536,13.75,5
923,5,5
1719,5,5
7679,5,5
9162,5,5
2301,8.75,5
4426,5,5
677,15,5
7275,16,5
1634,9.375,5
5296,16.5,5
2527,5,5
2990,5,5
758,6,6
637,7.5,5
7721,5,5
5371,5,5
8696,7.5,5
1913,11.25,5
5061,9.375,5
81675,0,0
3571,16.875,5
7623,9.375,5
9547,9.375,5
4534,5,5
4284,6.5,5
7285,10,5
9743,5,5
4922,11.875,5
392,6.875,0
1219,11.25,5
2399,5,5
2548,8.5,5
3587,7.5,5
1649,7.5,5
4281,5,5
7390,10.375,5
8506,15.625,5
2883,5,5
8243,14.375,5
2226,5,5
6553,7.5,5
4061,20.625,5
9038,9.375,5
9231,12.625,5
6541,26.375,5
8924,7.5,5
6505,5,5
2420,6.5,5
3396,15.375,5
2003,5,5
5112,16.625,5
9322,12.625,5
5220,15.625,5
1991,11.875,5
8960,8.75,5
2639,12.5,5
9433,11.25,5
1662,9.375,5
8867,8.75,5
254,6,6
1717,11.375,5
2874,5,5
2312,5,5
5449,7.5,5
4520,11,5
7286,5,5
8054,5,5
7128,7.5,5
4052,11.875,5
5127,16.25,5
9255,9.375,5
7110,14,5
7264,13.125,5
8400,15.625,5
6463,11.25,5
9045,5,5
4223,11.25,5
4442,5,5
3966,19.5,5
8548,13.125,5
3977,5,5
3448,10,5
8127,8.75,5
6270,5,5
5586,18.375,5
2451,13.125,5
1928,8.75,5
5309,12.75,5
6909,5,5
765,7.5,5
828,10.25,4
2972,11.125,5
2171,9.375,5
370,2,2
2381,11.25,5
2535,5,5
7029,20.25,5
6205,5,5
4407,7.5,5
5230,13.75,5
3774,5,5
9638,5,5
2981,13,5
549,10.625,5
1887,5,5
8299,14.375,5
1834,10,5
1772,5,5
8020,7.5,5
8992,12.5,5
1676,17.5,5
7296,23.125,5
7350,13.75,5
1433,15,5
9390,5,5
1633,13.625,5
9302,26.125,5
4495,13.625,5
6907,5,5
3939,7.5,5
6008,5,5
2441,5,5
5649,5,5
6546,24.375,5
3511,13.75,5
8074,8.75,5
3437,5,5
131,12.875,3
5418,5,5
2325,7.5,5
3351,5,5
140,18.875,4
2631,10.25,5
7463,5,5
9799,5,5
8834,13.75,5
9800,5,5
4273,5,5
5836,5,5
9844,13.75,5
4446,5,5
640,2.5,0
3228,13.125,5
6876,7.5,5
4186,10,5
17,8.875,1
9576,20.625,5
126,8.5,6
8668,7.5,5
6570,17.375,5
1344,21.5,5
6672,25,5
7658,5,5
6694,8.75,5
6810,5,5
6040,5,5
9112,21.25,5
3847,23.75,5
6446,18.25,5
2160,8.75,5
4773,5,5
5468,11.25,5
6574,5,5
8023,5,5
6476,10,5
5596,17.125,5
8268,5,5
5011,5,5
4394,5,5
4238,7.5,5
1961,20,5
9350,10.625,5
8093,8.75,5
5720,7.5,5
412,4,4
3294,8.75,5
3761,13.75,5
936,8.75,5
9992,5,5
5388,12.5,5
7825,13.125,5
6034,15.125,5
8033,7.5,5
6531,10.5,5
3655,7.5,5
6730,11.25,5
7642,7.5,5
6950,5,5
2391,5,5
3082,5,5
167,13.875,7
54504,0,0
7803,5,5
5025,5,5
6552,13.875,5
4602,5,5
738,4.5,2
729,8.5,1
5430,5,5
9987,12.5,5
4327,14.375,5
4746,9.375,5
3734,11.25,5
7272,9.375,5
827,9.875,3
8077,5,5
1900,8.75,5
8901,5,5
1028,10,5
297,1,1
8094,5,5
3832,13.125,5
4203,7.5,5
3103,11.875,5
5013,9.25,5
3476,9.375,5
3018,16.25,5
4422,7.5,5
2416,10.25,5
6635,26.375,5
1725,12.75,5
5255,5,5
8676,5,5
3480,9.375,5
9244,5,5
1621,5,5
8364,11.25,5
3144,5,5
2245,5,5
7519,9.875,5
6712,14.875,5
993,5,5
4914,5,5
5648,5,5
4070,5,5
879,11.375,7
1449,5,5
1828,15,5
233,11,1
3083,10,5
9414,12.5,5
292,18.375,4
971,15.625,5
2482,10,5
4655,7.5,5
4039,7.5,5
5435,16.25,5
1355,13.125,5
8450,9.375,5
3141,11.875,5
8138,13.75,5
1138,5,5
6549,5,5
7972,5,5
9472,7,5
1496,14.875,5
8173,6.5,5
1791,7.5,5
1158,7.5,5
1207,5,5
5799,5,5
5904,13.375,5
8089,5,5
3570,8.75,5
1412,5,5
5859,12.5,5
8975,12.5,5
6423,5,5
8424,7.5,5
5179,11.75,5
7791,5,5
6952,5,5
3983,5,5
9016,5,5
6875,13.375,5
2415,5,5
6609,5,5
8547,12.5,5
5041,11.25,5
4066,9.375,5
5497,5,5
8432,5,5
9618,12.5,5
8662,11.5,5
3996,18.25,5
5096,5,5
3863,5,5
1377,8.75,5
8229,10.625,5
1936,7.5,5
2812,7.5,5
2436,9.375,5
886,14.75,6
1304,5,5
4730,14.125,5
2988,12.125,5
2545,9.375,5
940,7,5
3145,5,5
4205,16.375,5
851,8,3
862,9.75,6
5352,7.5,5
483,3,3
2016,11.25,5
5377,9.375,5
155,17.25,3
635,11.625,3
8567,10.125,5
3905,7.5,5
18,14.5,2
523,11.75,3
3243,7.5,5
7098,11.875,5
3125,9.375,5
8041,5,5
3523,5,5
9330,5,5
3876,14,5
5196,13.125,5
481,6,1
4295,10.125,5
2251,5,5
9220,10,5
5267,5,5
1568,8.625,5
7131,10.375,5
7481,5,5
4240,11.25,5
359,7,7
7570,10.625,5
4759,11.25,5
8642,5,5
3309,10,5
5384,10,5
8590,10.5,5
4809,5,5
5811,8.75,5
8730,22.125,5
1978,7.5,5
4431,9.375,5
6234,5,5
6643,5,5
7638,5,5
3114,5,5
7277,5,5
4296,8.75,5
9118,5,5
2258,7.5,5
5030,5,5
7439,5,5
4617,5,5
8012,7.5,5
8417,13.25,5
8841,9.375,5
8868,5,5
2552,5,5
33947,0,0
5624,7.5,5
8816,12.5,5
4435,7.5,5
7206,5,5
4040,5,5
2343,5,5
4955,15.625,5
1025,5,5
8218,5,5
4770,8.75,5
6267,5,5
1553,14.625,5
5810,16.875,5
5681,13.25,5
9888,10,5
9170,16.875,5
5740,10,5
8182,5,5
2404,5,5
6382,11.25,5
6421,13.875,5
1197,14.375,5
2093,5,5
3567,10.375,5
690,7,2
7384,12.5,5
6082,5,5
1807,17.375,5
2551,5,5
9612,11.875,5
5629,13,5
4592,7.5,5
4050,5,5
8348,11.875,5
3292,5,5
5537,9.625,5
6346,5,5
1417,14.375,5
5964,14.375,5
8632,7.5,5
6934,11.875,5
3614,5,5
7592,20.625,5
8352,11.25,5
587,5.5,3
3457,15.625,5
5858,9.375,5
2286,10,5
4321,5,5
6665,11.125,5
7441,5,5
8498,7.5,5
1694,5,5
8844,5,5
9790,5,5
8323,13.5,5
8951,10.25,5
2376,5.5,5
5977,13.125,5
6181,11.5,5
5959,10,5
2205,9.375,5
3233,10.875,5
8055,17.5,5
4651,8.75,5
3197,7.5,5
3355,15,5
716,9.75,4
9782,5,5
4060,14.75,5
9475,7.5,5
9967,5,5
9540,9.375,5
621,5,5
5651,14.75,5
3369,5,5
2480,9.375,5
1502,7.5,5
2274,5,5
7605,11.25,5
5710,5,5
3590,8.75,5
3610,8.125,5
5770,10,5
9944,12.5,5
631,7,7
2673,5,5
7478,20.625,5
5068,14.375,5
1799,13.75,5
9527,5,5
1323,15,5
5985,13.5,5
7769,10,5
268,4,4
8501,5,5
5453,5,5
6360,16.25,5
7149,5,5
7506,5,5
46,6,6
9839,9.375,5
2744,18.75,5
4836,13.125,5
4859,7.5,5
6745,5,5
726,6,6
1269,13.375,5
5701,16.125,5
4323,27.125,5
565,5,5
892,14,4
2795,9,5
6655,13.125,5
5880,5,5
6315,5,5
7087,11.375,5
49186,0,0
7326,5,5
7333,5,5
8575,8.75,5
9866,17.25,5
4389,5,5
4466,7.5,5
4702,13.625,5
8812,10.75,5
6956,7.5,5
9001,5,5
3003,10,5
7505,14.625,5
7399,7.5,5
110,10.375,6
554,4.5,2
7295,8.75,5
7867,14.625,5
9080,11.25,5
4018,5,5
107,3,3
7529,5,5
7325,5,5
3248,13.75,5
3446,5,5
372,7.375,4
1185,7.5,5
5282,7.5,5
1375,5,5
3771,5,5
5503,9.5,5
3153,20.25,5
2811,25,5
6559,9.25,5
2396,5,5
2296,19.375,5
4888,12.5,5
2076,11.25,5
1892,5,5
4854,7.5,5
6858,5,5
7224,11.875,5
8407,5,5
7025,5,5
8188,5,5
5881,9.375,5
1844,9.25,5
1532,5,5
8862,5,5
7126,5,5
7954,9,5
6087,11.5,5
4923,12.625,5
3239,14.375,5
6137,7.5,5
553,1,1
2203,5,5
2040,5,5
6706,10.5,5
6868,5,5
45,12.125,5
4474,5,5
5298,9.375,5
57,9.125,1
6534,18.75,5
8675,5,5
5793,9.375,5
9616,5,5
8523,15,5
3199,5,5
9921,5,5
2524,5,5
4997,7.5,5
5004,5,5
9394,15,5
2677,5,5
861,23.5,5
7967,5,5
6306,13.125,5
1933,5,5
947,7.5,5
6935,16,5
7918,7.5,5
2054,5,5
542,15.875,6
332,6.5,4
7941,10.875,5
7240,7.5,5
3079,8.375,5
3240,5,5
9146,5,5
4614,10,5
369,7.25,1
6725,10.625,5
1461,5,5
3495,15,5
6618,11.875,5
941,11.25,5
8776,5,5
38,9.75,6
2152,5,5
7634,7.5,5
103,15.75,7
1231,15.375,5
5888,5,5
9912,5,5
3880,15,5
8667,7.5,5
5200,5,5
6354,31.125,5
2435,14.375,5
4427,5,5
8928,5,5
3899,15.5,5
5305,5,5
9555,5,5
1802,7.5,5
1817,5,5
40,0,0
9128,10,5
1627,7.5,5
2629,5,5
6874,7.5,5
9982,5,5
9098,5,5
9929,11.25,5
2328,7.5,5
94044,0,0
1397,10,5
4533,18.125,5
3053,13.875,5
8934,5,5
2507,5,5
6906,9.375,5
3763,7.5,5
7120,5,5
9520,5,5
7793,5,5
7163,7.5,5
9533,5,5
6378,5,5
8570,5,5
1946,18.125,5
2187,5,5
4870,7.5,5
8136,15.25,5
4111,11.75,5
4601,5,5
1419,5,5
3722,8.75,5
8684,15.625,5
3721,7.5,5
1652,7.5,5
2710,7.5,5
8343,12.125,5
4815,10.625,5
8245,5,5
7534,10,5
1139,5,5
9871,5,5
6317,8.5,5
6944,11.875,5
3436,5,5
3930,5,5
5257,5,5
5724,7.5,5
8925,7.5,5
6338,5,5
2342,17.375,5
2637,5,5
8436,11.25,5
2712,22.125,5
6853,17,5
5238,17.25,5
1144,14.375,5
6855,5,5
5501,17.875,5
7114,19.75,5
835,9.25,3
4552,5,5
8345,5,5
3987,5,5
1559,9.375,5
773,5,5
5215,5,5
2763,21.25,5
842,10.125,2
4775,10.25,5
3038,10.625,5
9968,5,5
3284,5,5
844,14,4
2727,5,5
1810,10.625,5
3434,8.75,5
6842,5,5
8917,12.25,5
2430,5,5
7024,5,5
8656,7.5,5
9582,5,5
696,16,0
6439,10,5
7242,9.375,5
557,5,5
9494,19.125,5
8522,15,5
2154,5,5
417,7.25,1
6920,19.25,5
2659,8.75,5
4492,8.125,5
6000,7.5,5
3635,7.5,5
6395,5,5
5163,5,5
1330,19,5
3957,10,5
3890,5,5
10000005,5,0
3528,5,5
6492,5,5
5522,9.125,5
83,5.5,3
1094,5,5
2192,7.5,5
2065,5,5
8447,11.875,5
4292,9.375,5
6594,8.75,5
4001,5,5
4410,13.75,5
7189,9.375,5
1166,15.875,5
8475,5,5
1545,7.5,5
3776,5,5
9512,10,5
3604,14.375,5
4455,12.5,5
3045,7.5,5
4543,5,5
151,14,7
1800,22.375,5
9752,12.5,5
1849,5,5
8350,10.625,5
7246,8.75,5
1292,5,5
1873,5,5
7064,8.75,5
2848,5,5
7172,5,5
5260,17.125,5
6230,5,5
7374,5,5
7431,7.5,5
83371,0,0
3073,5,5
7216,8.625,5
2173,16.5,5
489,1,1
2542,20.75,5
6860,13.75,5
4734,7.5,5
2916,5,5
4443,5,5
8883,5,5
4079,5,5
5169,7.5,5
7039,17.5,5
87503,0,0
9183,9.375,5
7489,5,5
8794,9.375,5
8039,5,5
3051,12.5,5
355,3,3
5679,14.375,5
7660,9.375,5
3479,15,5
7944,5,5
6986,5,5
8704,14.875,5
3782,14.75,5
8808,13.125,5
661,10,5
4639,10.625,5
904,8.75,5
9700,17.5,5
2510,5,5
9887,8.75,5
4860,5,5
68358,0,0
2127,13.625,5
6430,13.125,5
89,1,1
8673,18.875,5
2591,8.75,5
3160,5,5
3182,7.5,5
2538,18,5
4019,10,5
6681,5,5
228,9,4
6508,11.875,5
8874,13.75,5
7533,11.25,5
7700,7.5,5
9312,5,5
2075,13.125,5
5151,9.375,5
4232,5,5
7324,5,5
3020,5,5
6369,13.125,5
2684,5,5
2925,9.25,5
2324,13.375,5
9645,9.375,5
4498,28.125,5
6666,5,5
7129,5,5
525,5,5
1644,13.75,5
4314,15.5,5
2267,5,5
4313,7.5,5
77,5,5
2280,19.5,5
9949,5,5
1904,9.375,5
5906,13.75,5
3421,5,5
3560,11.875,5
9857,12.5,5
7937,7.5,5
6645,9.375,5
1998,13.25,5
2999,7.5,5
312,4.375,0
8441,10,5
9749,23.25,5
92425,0,0
8045,14.375,5
7952,5,5
4846,5,5
2214,21.5,5
2320,11.875,5
1119,5,5
2786,13.75,5
8793,10,5
8169,19.375,5
1677,5,5
235,8.625,3
4287,5.5,5
9310,9.5,5
6250,13.75,5
5459,7.5,5
7653,10.625,5
1343,5,5
1912,14.625,5
752,0,0
