txn_dt,txn_id,originator_id,beneficiary_id,txn_amount,originator_type,beneficiary_type,rptd_originator_address,rptd_beneficiary_address,rptd_originator_name,rptd_beneficiary_name,originator_bank_country,beneficiary_bank_country
2021-05-20,223257,1223257,2223257,7800,Company,Company,"Canary Wharf, London, UK","Windsor Park, London, UK",BNY Mellon Corp.,Bank of America,UK,UK
2021-05-14,100010,10000007,10000009,84.07930955396817,Company,Company,"2399 Delta Road, Tahoe, MD 29293","63828 Spark Lane, Reston, VA 22011",Inertia Bank,DeltaTech,US,US
2021-05-18,100005,10000003,10000006,18.725937991950325,Company,Company,"2399 Delta Road, Tahoe, MD 29293","63828 Spark Lane, Reston, VA 22011",Inertia Bank,DeltaTech,US,US
2021-05-14,100000,10000001,10000003,12.611258643876067,Company,Company,"2399 Delta Road, Tahoe, MD 29293","63828 Spark Lane, Reston, VA 22011",Inertia Bank,DeltaTech,US,US
2021-05-15,1,1,2,5000,Person,Company,"120 Mason Lake Apt. 211
North Carmenport, OK 73475","93324 Hood Islands Apt. 113
Romerofort, UT 96153",Brenda Thomas,Teresa Gibson,US,US
2021-05-16,2,3,4,5000,Person,Company,"2388 Davenport Mountain Apt. 106
Natalieberg, FL 17773","42318 Brian Mews Suite 436
Lucasfurt, NJ 57292",Lindsey Barber,Joshua Harris,US,US
2021-05-17,3,5,6,5000,Person,Company,"250 Gonzalez Drives
North Jasmine, NE 92676","59707 Christensen Knolls Apt. 250
North Jason, NJ 58845",Bruce White,Kathleen Elliott,US,US
2021-05-18,4,7,8,5000,Person,Company,"87308 Villanueva Harbor
East Jayberg, MA 20361","81348 Diana Row
Thomasborough, MN 91222",Jeffrey Lara,Amy Campbell,US,US
2021-05-18,5,2,9,4998,Company,Company,"93324 Hood Islands Apt. 113
Romerofort, UT 96153","2302 Tara Parkways Apt. 683
Higginsland, NJ 53367",Teresa Gibson,Mary Strong,US,US
2021-05-19,6,4,9,4999,Company,Company,"42318 Brian Mews Suite 436
Lucasfurt, NJ 57292","2302 Tara Parkways Apt. 683
Higginsland, NJ 53367",Joshua Harris,Mary Strong,US,US
2021-05-20,7,6,10,4997,Company,Company,"59707 Christensen Knolls Apt. 250
North Jason, NJ 58845","223 Diane Springs
New Sharon, MI 93353",Kathleen Elliott,Victor Arias,US,US
2021-05-21,8,8,10,4996,Company,Company,"81348 Diana Row
Thomasborough, MN 91222","223 Diane Springs
New Sharon, MI 93353",Amy Campbell,Victor Arias,US,US
2021-05-22,9,9,11,9997,Company,Company,"2302 Tara Parkways Apt. 683
Higginsland, NJ 53367","489 Collins Mission
Terryland, NM 27133",Mary Strong,Robert Wilkinson,US,US
2021-05-14,10,10,11,9993,Company,Company,"223 Diane Springs
New Sharon, MI 93353","489 Collins Mission
Terryland, NM 27133",Victor Arias,Robert Wilkinson,US,US
2021-05-19,223254,323254.0,423254.0,5.689852347E7,Company,Company,,,CIMB Bank Berhad,Barclays Bank Plc,Singapore,United Kingdom
2021-05-18,223255,323255.0,423255.0,1.1623836125E8,Company,Company,,,CIMB Bank Berhad,Barclays Bank Plc,Singapore,United Kingdom
2021-05-21,223258,323258.0,423258.0,5000,Company,Company,,,Barclays Bank Plc Ho UK,Skandinaviska Enskilda Banken,United Kingdom,Sweden
2021-05-22,223259,323259.0,423259.0,9990,Company,Company,,,Barclays Bank Plc Ho UK,Skandinaviska Enskilda Banken,United Kingdom,Sweden
2021-05-14,223260,323260.0,423260.0,12000,Company,Company,,,Barclays Bank Plc Ho UK,Skandinaviska Enskilda Banken,United Kingdom,Sweden
2021-05-15,223261,323261.0,423261.0,88.03,Company,Company,,,Barclays Bank Plc Ho UK,Skandinaviska Enskilda Banken,United Kingdom,Sweden
2021-05-16,223262,323262.0,423262.0,13000,Company,Company,,,Barclays Bank Plc Ho UK,Skandinaviska Enskilda Banken,United Kingdom,Sweden
2021-05-17,223263,323263.0,423263.0,6990,Company,Company,,,Barclays Bank Plc Ho UK,Skandinaviska Enskilda Banken,United Kingdom,Sweden
2021-05-19,223264,323264.0,423264.0,8000,Company,Company,,,Barclays Bank Plc Ho UK,Skandinaviska Enskilda Banken,United Kingdom,Sweden
2021-05-18,223265,323265.0,423265.0,6990,Company,Company,,,Barclays Bank Plc Ho UK,Skandinaviska Enskilda Banken,United Kingdom,Sweden
2021-05-19,223266,323266.0,423266.0,7090,Company,Company,,,Barclays Bank Plc Ho UK,Skandinaviska Enskilda Banken,United Kingdom,Sweden
2021-05-20,223267,323267.0,423267.0,13000,Company,Company,,,Barclays Bank Plc Ho UK,Skandinaviska Enskilda Banken,United Kingdom,Sweden
2021-05-21,223268,323268.0,423268.0,400.01,Company,Company,,,Barclays Bank Plc Ho UK,Skandinaviska Enskilda Banken,United Kingdom,Sweden
2021-05-22,223269,323269.0,423269.0,7290,Company,Company,,,Barclays Bank Plc Ho UK,Skandinaviska Enskilda Banken,United Kingdom,Sweden
2021-05-14,223270,323270.0,423270.0,7290,Company,Company,,,Barclays Bank Plc Ho UK,Skandinaviska Enskilda Banken,United Kingdom,Sweden
2021-05-15,223271,323271.0,423271.0,7090,Company,Company,,,Barclays Bank Plc Ho UK,Skandinaviska Enskilda Banken,United Kingdom,Sweden
2021-05-16,223272,323272.0,423272.0,7290,Company,Company,,,Barclays Bank Plc Ho UK,Skandinaviska Enskilda Banken,United Kingdom,Sweden
2021-05-17,223273,323273.0,423273.0,7390,Company,Company,,, Natwest Offshore,Skandinaviska Enskilda Banken,Gibraltar,Sweden
2021-05-19,223274,323274.0,423274.0,7290,Company,Company,,, Natwest Offshore,Skandinaviska Enskilda Banken,Gibraltar,Sweden
2021-05-18,223275,323275.0,423275.0,7240,Company,Company,,, Natwest Offshore,Skandinaviska Enskilda Banken,Gibraltar,Sweden
2021-05-19,223276,323276.0,423276.0,7280,Company,Company,,, Natwest Offshore,Skandinaviska Enskilda Banken,Gibraltar,Sweden
2021-05-20,223277,323277.0,423277.0,7290,Company,Company,,, Natwest Offshore,Skandinaviska Enskilda Banken,Gibraltar,Sweden
2021-05-21,223278,323278.0,423278.0,7189,Company,Company,,, Natwest Offshore,Skandinaviska Enskilda Banken,Gibraltar,Sweden
2021-05-22,223279,323279.0,423279.0,6990,Company,Company,,, Natwest Offshore,Skandinaviska Enskilda Banken,Gibraltar,Sweden
2021-05-14,223280,323280.0,423280.0,7160,Company,Company,,, Natwest Offshore,Skandinaviska Enskilda Banken,Gibraltar,Sweden
2021-05-15,223281,323281.0,423281.0,28973.97,Company,Company,,, Natwest Offshore,Skandinaviska Enskilda Banken,Gibraltar,Sweden
2021-05-16,223282,323282.0,423282.0,3334.42,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-17,223283,323283.0,423283.0,475,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-19,223284,323284.0,423284.0,2884.21,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-18,223285,323285.0,423285.0,5000,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-19,223286,323286.0,423286.0,400,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-20,223287,323287.0,423287.0,350,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-21,223288,323288.0,423288.0,200,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-22,223289,323289.0,423289.0,200,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-14,223290,323290.0,423290.0,240,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-15,223291,323291.0,423291.0,250,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-16,223292,323292.0,423292.0,1827.41,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-17,223293,323293.0,423293.0,400,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-19,223294,323294.0,423294.0,772,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-18,223295,323295.0,423295.0,459.49,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-19,223296,323296.0,423296.0,167,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-20,223297,323297.0,423297.0,1320.44,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-21,223298,323298.0,423298.0,112.32,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-22,223299,323299.0,423299.0,200,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-14,223300,323300.0,423300.0,300,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-15,223301,323301.0,423301.0,290,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-16,223302,323302.0,423302.0,1880,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-17,223303,323303.0,423303.0,480,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-19,223304,323304.0,423304.0,146,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-18,223305,323305.0,423305.0,600,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-19,223306,323306.0,423306.0,500,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-20,223307,323307.0,423307.0,195,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-21,223308,323308.0,423308.0,40,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-22,223309,323309.0,423309.0,490,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-14,223310,323310.0,423310.0,197.44,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-15,223311,323311.0,423311.0,9990,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-16,223312,323312.0,423312.0,370,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-17,223313,323313.0,423313.0,979,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-19,223314,323314.0,423314.0,19990,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-18,223315,323315.0,423315.0,2174.73,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-19,223316,323316.0,423316.0,535,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-20,223317,323317.0,423317.0,5380,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-21,223318,323318.0,423318.0,607.49,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-22,223319,323319.0,423319.0,1490,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-14,223320,323320.0,423320.0,210,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-15,223321,323321.0,423321.0,419.15,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-16,223322,323322.0,423322.0,2519.94,Company,Company,,,Barclays Bank Plc Ho UK,Commonwealth Bank of Australia,United Kingdom,Australia
2021-05-17,223323,323323.0,423323.0,437.86,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-19,223324,323324.0,423324.0,2500,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-18,223325,323325.0,423325.0,1245,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-19,223326,323326.0,423326.0,300,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-20,223327,323327.0,423327.0,636.65,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-21,223328,323328.0,423328.0,500,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-22,223329,323329.0,423329.0,700,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-14,223330,323330.0,423330.0,750,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-15,223331,323331.0,423331.0,435.67,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-16,223332,323332.0,423332.0,290,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-17,223333,323333.0,423333.0,506.14,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-19,223334,323334.0,423334.0,1150,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-18,223335,323335.0,423335.0,544,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-19,223336,323336.0,423336.0,1490,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-20,223337,323337.0,423337.0,390,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-21,223338,323338.0,423338.0,40,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-22,223339,323339.0,423339.0,1990,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-14,223340,323340.0,423340.0,990.5,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-15,223341,323341.0,423341.0,90,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-16,223342,323342.0,423342.0,1558,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-17,223343,323343.0,423343.0,667.94,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-19,223344,323344.0,423344.0,890.71,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-18,223345,323345.0,423345.0,3654.55,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-19,223346,323346.0,423346.0,224.18,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-20,223347,323347.0,423347.0,14417,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-21,223348,323348.0,423348.0,980,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-22,223349,323349.0,423349.0,22990,Company,Company,,, Natwest Offshore,Commonwealth Bank of Australia,Gibraltar,Australia
2021-05-14,223350,323350.0,423350.0,34644.35,Company,Company,,,Barclays Bank Plc Ho UK,Skandinaviska Enskilda Banken,United Kingdom,Sweden
2021-05-15,223351,323351.0,423351.0,40000,Company,Company,,,Barclays Bank Plc Ho UK,Skandinaviska Enskilda Banken,United Kingdom,Sweden
2021-05-16,223352,323352.0,423352.0,36855.87,Company,Company,,,Barclays Bank Plc Ho UK,Skandinaviska Enskilda Banken,United Kingdom,Sweden
2021-05-17,223353,323353.0,423353.0,750,Company,Company,,,Natwest Offshore,DNB Nor Bank Asa,Gibraltar,Norway
2021-05-19,223354,323354.0,423354.0,70000,Company,Company,,,Natwest Offshore,DNB Nor Bank Asa,Gibraltar,Norway
2021-05-18,223355,323355.0,423355.0,825,Company,Company,,,Natwest Offshore,DNB Nor Bank Asa,Gibraltar,Norway
2021-05-19,223356,323356.0,423356.0,16510,Company,Company,,,Natwest Offshore,DNB Nor Bank Asa,Gibraltar,Norway
2021-05-20,223357,323357.0,423357.0,105,Company,Company,,,Natwest Offshore,DNB Nor Bank Asa,Gibraltar,Norway
2021-05-14,223360,323360.0,423360.0,1708383.56,Company,Company,,,Evrofinance Mosnarbank,Marfin Popular Bank Public Co Ltd,Russia,Cyprus
2021-05-16,223372,323372.0,423372.0,9962160,Company,Company,,,Latvian Trade Commercial Bank,Alcoa Inc,Latvia,United States
2021-05-17,223373,323373.0,423373.0,124808.13,Company,Company,,,Latvian Trade Commercial Bank,Piraeus Bank,Latvia,Bulgaria
2021-05-19,223374,323374.0,423374.0,3361767.58,Company,Company,,,Latvian Trade Commercial Bank,Credit To Euroclear Bank SA,Latvia,Belgium
2021-05-18,223375,323375.0,423375.0,57980.64,Company,Company,,,VTB North-West,LTB Bank,Russia,Latvia
2021-05-20,223377,323377.0,423377.0,15000,Company,Company,,,DBS Bank Ltd,Credit Toltb Bank,Singapore,Latvia
2021-05-21,223378,323378.0,423378.0,77.62,Company,Company,,,UniCredit Bank Austria AG,LTB Bank,Austria,Latvia
2021-05-14,223380,323380.0,423380.0,1.835522694E7,Company,Company,,,Kazkommertsbank,LTB Bank,Kazakhstan,Latvia
2021-05-15,223381,323381.0,423381.0,374379.05,Company,Company,,,Transcredit Bank,Latvian Trade Commercial Bank,Russia,Latvia
2021-05-16,223382,323382.0,423382.0,393371.39,Company,Company,,,Transcredit Bank,Latvian Trade Commercial Bank,Russia,Latvia
2021-05-17,223383,323383.0,423383.0,392174.28,Company,Company,,,Transcredit Bank,Latvian Trade Commercial Bank,Russia,Latvia
2021-05-19,223384,323384.0,423384.0,376794.78,Company,Company,,,Transcredit Bank,Latvian Trade Commercial Bank,Russia,Latvia
2021-05-18,223385,323385.0,423385.0,30253,Company,Company,,,Latvian Trade Commercial Bank,Ocbc Bank,Latvia,Malaysia
2021-05-21,223388,323388.0,423388.0,42986.36,Company,Company,,,Rak Bank,Deutsche Bank AG,United Arab Emirates,Singapore
2021-05-22,223389,323389.0,423389.0,42986.36,Company,Company,,,Rak Bank,Cibc,United Arab Emirates,Canada
2021-05-14,223400,323400.0,423400.0,1.379185701E7,Company,Company,,,"Goldman Sachs And Co, New York",Societe Generale Bank And Trust Singapore SA,United States,Singapore
2021-05-16,223452,323452.0,423452.0,19850,Company,Company,,,National Bank Sal,Commerce Bank Na,Lebanon,United States
2021-05-17,223453,323453.0,423453.0,14000,Company,Company,,,National Bank Sal,Commerce Bank Na,Lebanon,United States
2021-05-19,223454,323454.0,423454.0,22000,Company,Company,,,National Bank Sal,Commerce Bank Na,Lebanon,United States
2021-05-18,223455,323455.0,423455.0,30000,Company,Company,,,National Bank Sal,Commerce Bank Na,Lebanon,United States
2021-05-19,223456,323456.0,423456.0,8000,Company,Company,,,National Bank Sal,Commerce Bank Na,Lebanon,United States
2021-05-15,223521,323521.0,423521.0,54963,Company,Company,,,HSBC Hong Kong,First National Bank Sal,Hong Kong,Lebanon
2021-05-16,223522,323522.0,423522.0,30000,Company,Company,,,HSBC Hong Kong,First National Bank Sal,Hong Kong,Lebanon
2021-05-17,223523,323523.0,423523.0,29963,Company,Company,,,HSBC Hong Kong,First National Bank Sal,Hong Kong,Lebanon
2021-05-19,223524,323524.0,423524.0,50000,Company,Company,,,HSBC Hong Kong,First National Bank Sal,Hong Kong,Lebanon
2021-05-18,223525,323525.0,423525.0,25000,Company,Company,,,HSBC Hong Kong,First National Bank Sal,Hong Kong,Lebanon
2021-05-19,223526,323526.0,423526.0,9988,Company,Company,,,HSBC Hong Kong,First National Bank Sal,Hong Kong,Lebanon
2021-05-20,223527,323527.0,423527.0,20000,Company,Company,,,HSBC Hong Kong,First National Bank Sal,Hong Kong,Lebanon
2021-05-21,223528,323528.0,423528.0,120000,Company,Company,,,HSBC Hong Kong,First National Bank Sal,Hong Kong,Lebanon
2021-05-22,223529,323529.0,423529.0,30000,Company,Company,,,HSBC Hong Kong,First National Bank Sal,Hong Kong,Lebanon
2021-05-14,223530,323530.0,423530.0,14000,Company,Company,,,HSBC Hong Kong,First National Bank Sal,Hong Kong,Lebanon
2021-05-15,223531,323531.0,423531.0,17963,Company,Company,,,HSBC Hong Kong,First National Bank Sal,Hong Kong,Lebanon
2021-05-16,223532,323532.0,423532.0,39963,Company,Company,,,HSBC Hong Kong,First National Bank Sal,Hong Kong,Lebanon
2021-05-17,223533,323533.0,423533.0,39963,Company,Company,,,HSBC Hong Kong,First National Bank Sal,Hong Kong,Lebanon
2021-05-20,223537,323537.0,423537.0,4913,Company,Company,,,Finance Bank of Zambia,First National Bank Sal,Zambia,Lebanon
2021-05-21,223538,323538.0,423538.0,4913,Company,Company,,,Finance Bank of Zambia,First National Bank Sal,Zambia,Lebanon
2021-05-22,223539,323539.0,423539.0,2963,Company,Company,,,Finance Bank of Zambia,First National Bank Sal,Zambia,Lebanon
2021-05-14,223540,323540.0,423540.0,2463,Company,Company,,,Finance Bank of Zambia,First National Bank Sal,Zambia,Lebanon
2021-05-15,223541,323541.0,423541.0,2963,Company,Company,,,Finance Bank of Zambia,First National Bank Sal,Zambia,Lebanon
2021-05-16,223542,323542.0,423542.0,4463,Company,Company,,,Finance Bank of Zambia,First National Bank Sal,Zambia,Lebanon
2021-05-17,223543,323543.0,423543.0,2463,Company,Company,,,Finance Bank of Zambia,First National Bank Sal,Zambia,Lebanon
2021-05-19,223544,323544.0,423544.0,2463,Company,Company,,,Finance Bank of Zambia,First National Bank Sal,Zambia,Lebanon
2021-05-18,223545,323545.0,423545.0,2131.4,Company,Company,,,Bawag Psk Bank,Bank of America,Austria,United States
2021-05-17,223563,323563.0,423563.0,113900,Company,Company,,,Kabul Bank,Halyk Savings Bank Kazakhstan,Afghanistan,Kazakhstan
2021-05-19,223564,323564.0,423564.0,6980,Company,Company,,,Kabul Bank,Halyk Savings Bank Kazakhstan,Afghanistan,Kazakhstan
2021-05-18,223565,323565.0,423565.0,40800,Company,Company,,,Kabul Bank,Halyk Savings Bank Kazakhstan,Afghanistan,Kazakhstan
2021-05-19,223566,323566.0,423566.0,17450,Company,Company,,,Kabul Bank,Halyk Savings Bank Kazakhstan,Afghanistan,Kazakhstan
2021-05-20,223567,323567.0,423567.0,117300,Company,Company,,,Kabul Bank,Halyk Savings Bank Kazakhstan,Afghanistan,Kazakhstan
2021-05-21,223568,323568.0,423568.0,399870,Company,Company,,,Kabul Bank,Bank of America N.A. ,Afghanistan,United States
2021-05-18,223615,323615.0,423615.0,1.337484928E7,Company,Company,,,Public Bank Berhad,Standard Chartered Bank,Malaysia,United Kingdom
2021-05-20,223627,323627.0,423627.0,16084899,Company,Company,,,Tbc Bank,Habib Bank A G Zurich,Georgia,United Arab Emirates
2021-05-22,223649,323649.0,423649.0,1355.82,Company,Company,,,Rak Bank,"State Bank of India(Mumbai, India)",United Arab Emirates,India
2021-05-14,223650,323650.0,423650.0,2091.82,Company,Company,,,Rak Bank,Punjab National Bank,United Arab Emirates,India
2021-05-15,223651,323651.0,423651.0,2191.82,Company,Company,,,Rak Bank,State Bank of India,United Arab Emirates,India
2021-05-16,223652,323652.0,423652.0,2241.82,Company,Company,,,Rak Bank,Union Bank of India,United Arab Emirates,India
2021-05-17,223653,323653.0,423653.0,2391.82,Company,Company,,,Rak Bank,Hdfc Bank Limited,United Arab Emirates,India
2021-05-19,223654,323654.0,423654.0,2391.82,Company,Company,,,Rak Bank,State Bank of India,United Arab Emirates,India
2021-05-18,223655,323655.0,423655.0,2391.82,Company,Company,,,Rak Bank,State Bank of India,United Arab Emirates,India
2021-05-19,223656,323656.0,423656.0,2841.82,Company,Company,,,Rak Bank,State Bank of India,United Arab Emirates,India
2021-05-20,223657,323657.0,423657.0,2991.82,Company,Company,,,Rak Bank,State Bank of India,United Arab Emirates,India
2021-05-21,223658,323658.0,423658.0,2991.82,Company,Company,,,Rak Bank,State Bank of India,United Arab Emirates,India
2021-05-22,223659,323659.0,423659.0,3291.82,Company,Company,,,Rak Bank,Punjab National Bank,United Arab Emirates,India
2021-05-14,223660,323660.0,423660.0,3291.82,Company,Company,,,Rak Bank,Lloyds Bank Plc,United Arab Emirates,United Kingdom
2021-05-15,223661,323661.0,423661.0,3665.82,Company,Company,,,Rak Bank,Hong Kong & Shanghai Bnk Corp,United Arab Emirates,Hong Kong
2021-05-16,223662,323662.0,423662.0,4111.82,Company,Company,,,Rak Bank,Mega Int'L Comm'L Bk,United Arab Emirates,Singapore
2021-05-17,223663,323663.0,423663.0,5991.82,Company,Company,,,Rak Bank,Hdfc Bank Limited,United Arab Emirates,India
